L,energy,specific_heat,tau_cluster,tau_sweep
4,-27.0818,1.6382493092101558,4.013254506397005,3.006930938917956
8,-106.3228,2.4472402641330415,7.562563611646044,4.968202531659583
16,-411.9116,4.185958286518318,11.784347886095462,6.040988161196831
32,-1643.1092,5.459348394300063,17.068446887510433,7.662092481424088
