L,energy,specific_heat,tau_cluster,tau_sweep
8,-111.522,1.1821578880645447,1.5188273106659305,0.977849500618801
16,-441.9908,1.4689773661700987,2.090298796232642,1.136394206663745
32,-1758.7436,1.7669836445764404,2.8967557285973933,1.3173579421577986
64,-7002.474,2.2161046420818864,4.771752121049099,1.8005172127830658
