L,beta,chi,b,x,chi_scaled
16,0.37458377448330576,14.492697447384517,0.1499999999999999,2.3999999999999986,0.11322419880769154
16,0.37671376065193635,14.43862174212793,0.14516666666666656,2.322666666666665,0.11280173236037445
16,0.3788437468205669,16.76014355013697,0.1403333333333333,2.245333333333333,0.13093862148544508
16,0.38097373298919746,18.550920656451176,0.13549999999999995,2.1679999999999993,0.1449290676285248
16,0.38310371915782804,20.395252291334913,0.1306666666666666,2.0906666666666656,0.159337908526054
16,0.38523370532645856,19.312111756422496,0.12583333333333335,2.0133333333333336,0.15087587309705075
16,0.38736369149508915,21.10417916842042,0.121,1.936,0.16487639975328452
16,0.3894936776637197,21.899358099626557,0.11616666666666664,1.8586666666666662,0.17108873515333248
16,0.39162366383235026,23.12758023240934,0.11133333333333328,1.7813333333333325,0.18068422056569797
16,0.39375365000098084,26.414117655208376,0.10649999999999993,1.7039999999999988,0.20636029418131543
16,0.39588363616961136,27.36310579113463,0.10166666666666668,1.626666666666667,0.2137742639932393
16,0.39801362233824195,27.349506058972295,0.09683333333333333,1.5493333333333332,0.21366801608572106
16,0.40014360850687253,29.961190344023883,0.09199999999999997,1.4719999999999995,0.2340717995626866
16,0.40227359467550305,30.796110038726162,0.08716666666666661,1.3946666666666658,0.24059460967754814
16,0.40440358084413364,33.84749762113493,0.08233333333333326,1.3173333333333321,0.2644335751651166
16,0.4065335670127642,34.27648863735341,0.0774999999999999,1.2399999999999984,0.2677850674793235
16,0.40866355318139475,36.17313376970196,0.07266666666666666,1.1626666666666665,0.2826026075757966
16,0.4107935393500253,38.787968433117506,0.0678333333333333,1.0853333333333328,0.3030310033837305
16,0.41292352551865585,39.76814858829485,0.06300000000000006,1.008000000000001,0.3106886608460535
16,0.41505351168728644,42.162838085113584,0.0581666666666667,0.9306666666666672,0.3293971725399499
16,0.417183497855917,44.12959707016217,0.05333333333333323,0.8533333333333317,0.34476247711064195
16,0.41931348402454754,46.36370486122283,0.04849999999999999,0.7759999999999998,0.36221644422830335
16,0.4214434701931781,47.96861346420976,0.04366666666666663,0.6986666666666661,0.37475479268913875
16,0.42357345636180865,50.84710618747985,0.038833333333333386,0.6213333333333342,0.39724301708968635
16,0.42570344253043924,52.823935481172356,0.03400000000000003,0.5440000000000005,0.41268699594665903
16,0.4278334286990698,55.789362116655546,0.029166666666666674,0.4666666666666668,0.43585439153637145
16,0.4299634148677004,56.04933375114886,0.024333333333333207,0.3893333333333313,0.43788541993085045
16,0.4320934010363309,58.06190937561481,0.019499999999999962,0.3119999999999994,0.4536086669969907
16,0.4342233872049615,60.62432718961004,0.014666666666666606,0.2346666666666657,0.47362755616882846
16,0.43635337337359204,62.72541390874679,0.00983333333333336,0.15733333333333377,0.4900422961620843
16,0.4384833595422226,66.12585985740199,0.0050000000000000044,0.08000000000000007,0.5166082801359531
32,0.37458377448330576,11.454321884204749,0.1499999999999999,4.799999999999997,0.0266046114887259
32,0.37671376065193635,12.693798750646643,0.14516666666666656,4.64533333333333,0.029483507403675075
32,0.3788437468205669,13.952047518863731,0.1403333333333333,4.490666666666666,0.03240600425447033
32,0.38097373298919746,14.688587372816345,0.13549999999999995,4.3359999999999985,0.03411674338494594
32,0.38310371915782804,15.958106855326923,0.1306666666666666,4.181333333333331,0.0370654183873603
32,0.38523370532645856,19.50725106220508,0.12583333333333335,4.026666666666667,0.04530890968226302
32,0.38736369149508915,18.92562344864559,0.121,3.872,0.04395798058787436
32,0.3894936776637197,22.417730822996134,0.11616666666666664,3.7173333333333325,0.05206899413461486
32,0.39162366383235026,24.41370064536361,0.11133333333333328,3.562666666666665,0.056704973654322116
32,0.39375365000098084,24.682224525783163,0.10649999999999993,3.4079999999999977,0.057328666054992185
32,0.39588363616961136,26.430009220498192,0.10166666666666668,3.253333333333334,0.06138819338789838
32,0.39801362233824195,33.669157803384984,0.09683333333333333,3.0986666666666665,0.07820234768737268
32,0.40014360850687253,37.771077237583945,0.09199999999999997,2.943999999999999,0.08772975350049247
32,0.40227359467550305,39.14258786359585,0.08716666666666661,2.7893333333333317,0.09091532028712372
32,0.40440358084413364,45.951831919678796,0.08233333333333326,2.6346666666666643,0.10673094817634994
32,0.4065335670127642,52.133483508497804,0.0774999999999999,2.479999999999997,0.12108888577770041
32,0.40866355318139475,54.731375817511505,0.07266666666666666,2.325333333333333,0.1271229326876417
32,0.4107935393500253,67.02712784804687,0.0678333333333333,2.1706666666666656,0.1556819088576062
32,0.41292352551865585,72.40112584028242,0.06300000000000006,2.016000000000002,0.16816393356146722
32,0.41505351168728644,82.85351703293354,0.0581666666666667,1.8613333333333344,0.19244139054406972
32,0.417183497855917,91.40998676708274,0.05333333333333323,1.7066666666666634,0.21231524735492066
32,0.41931348402454754,100.95948137353065,0.04849999999999999,1.5519999999999996,0.23449557339138152
32,0.4214434701931781,115.42555290751147,0.04366666666666663,1.3973333333333322,0.2680954858803431
32,0.42357345636180865,125.23771565492387,0.038833333333333386,1.2426666666666684,0.29088590336625614
32,0.42570344253043924,130.3485586724506,0.03400000000000003,1.088000000000001,0.3027567058664607
32,0.4278334286990698,148.99132658721146,0.029166666666666674,0.9333333333333336,0.3460577063500116
32,0.4299634148677004,155.91347206175413,0.024333333333333207,0.7786666666666626,0.3621355669933906
32,0.4320934010363309,170.3585663187181,0.019499999999999962,0.6239999999999988,0.39568675618727045
32,0.4342233872049615,189.9669839548918,0.014666666666666606,0.4693333333333314,0.44123064245071303
32,0.43635337337359204,199.65234183786097,0.00983333333333336,0.31466666666666754,0.46372653406355413
32,0.4384833595422226,215.05892748374762,0.0050000000000000044,0.16000000000000014,0.4995109506025916
64,0.37458377448330576,10.701574938525912,0.1499999999999999,9.599999999999994,0.007389800984773129
64,0.37671376065193635,11.065135300108567,0.14516666666666656,9.29066666666666,0.007640851763138098
64,0.3788437468205669,12.521156721927731,0.1403333333333333,8.981333333333332,0.008646284010131466
64,0.38097373298919746,13.135461356891007,0.13549999999999995,8.671999999999997,0.009070482226046367
64,0.38310371915782804,14.206773830740625,0.1306666666666666,8.362666666666662,0.00981025987744168
64,0.38523370532645856,14.515008321340277,0.12583333333333335,8.053333333333335,0.010023106262694216
64,0.38736369149508915,16.76609261993963,0.121,7.744,0.011577556431211956
64,0.3894936776637197,16.163956718394648,0.11616666666666664,7.434666666666665,0.011161761139045615
64,0.39162366383235026,18.81735116163253,0.11133333333333328,7.12533333333333,0.012994020127303633
64,0.39375365000098084,22.525821029670066,0.10649999999999993,6.815999999999995,0.015554844533080316
64,0.39588363616961136,23.436539841514318,0.10166666666666668,6.506666666666668,0.0161837268061362
64,0.39801362233824195,25.659414478869014,0.09683333333333333,6.197333333333333,0.01771869724539508
64,0.40014360850687253,27.253185258408,0.09199999999999997,5.887999999999998,0.018819250102689013
64,0.40227359467550305,33.81022793540353,0.08716666666666661,5.578666666666663,0.02334711078768231
64,0.40440358084413364,37.79811876941619,0.08233333333333326,5.2693333333333285,0.02610088486127804
64,0.4065335670127642,42.04330697630751,0.0774999999999999,4.959999999999994,0.029032331510209692
64,0.40866355318139475,46.690957324076415,0.07266666666666666,4.650666666666666,0.03224169193744739
64,0.4107935393500253,56.68326127953051,0.0678333333333333,4.341333333333331,0.03914171721730946
64,0.41292352551865585,65.31488483282361,0.06300000000000006,4.032000000000004,0.04510214646260543
64,0.41505351168728644,81.80639001928112,0.0581666666666667,3.722666666666669,0.056490090944360534
64,0.417183497855917,98.15244056154846,0.05333333333333323,3.413333333333327,0.06777759405378951
64,0.41931348402454754,123.10148703763194,0.04849999999999999,3.103999999999999,0.08500575806489984
64,0.4214434701931781,149.2968972130229,0.04366666666666663,2.7946666666666644,0.10309457854437448
64,0.42357345636180865,189.9645406653558,0.038833333333333386,2.4853333333333367,0.13117696766548903
64,0.42570344253043924,225.74361893226586,0.03400000000000003,2.176000000000002,0.15588363648105186
64,0.4278334286990698,283.80451186484936,0.029166666666666674,1.8666666666666671,0.19597665514743456
64,0.4299634148677004,356.36637769887614,0.024333333333333207,1.5573333333333252,0.24608308814234547
64,0.4320934010363309,446.2555222919748,0.019499999999999962,1.2479999999999976,0.308154595658789
64,0.4342233872049615,497.13812932969876,0.014666666666666606,0.9386666666666628,0.34329076409709464
64,0.43635337337359204,587.2894204956282,0.00983333333333336,0.6293333333333351,0.4055432927261489
64,0.4384833595422226,656.754763206877,0.0050000000000000044,0.3200000000000003,0.4535114713282696
128,0.37458377448330576,8.774342904889952,0.1499999999999999,19.19999999999999,0.0018013460680978575
128,0.37671376065193635,10.675473153573382,0.14516666666666656,18.58133333333332,0.0021916423598576963
128,0.3788437468205669,11.338203133194204,0.1403333333333333,17.962666666666664,0.0023276988208304297
128,0.38097373298919746,12.27573102032524,0.13549999999999995,17.343999999999994,0.0025201704613306442
128,0.38310371915782804,11.92536920332812,0.1306666666666666,16.725333333333325,0.002448242239662027
128,0.38523370532645856,14.85226886205629,0.12583333333333335,16.10666666666667,0.003049125889767456
128,0.38736369149508915,14.763103511705687,0.121,15.488,0.003030820512942587
128,0.3894936776637197,15.940139301942484,0.11616666666666664,14.86933333333333,0.0032724624017696
128,0.39162366383235026,17.58953735485865,0.11133333333333328,14.25066666666666,0.0036110788348808452
128,0.39375365000098084,20.055417022292847,0.10649999999999993,13.63199999999999,0.004117316474722749
128,0.39588363616961136,21.282739799823105,0.10166666666666668,13.013333333333335,0.004369282129992384
128,0.39801362233824195,23.52002797599541,0.09683333333333333,12.394666666666666,0.004828590627851958
128,0.40014360850687253,25.56892356309452,0.09199999999999997,11.775999999999996,0.005249222696802347
128,0.40227359467550305,31.625775511497626,0.08716666666666661,11.157333333333327,0.006492676088192643
128,0.40440358084413364,33.552729766445694,0.08233333333333326,10.538666666666657,0.006888273970356637
128,0.4065335670127642,40.74719253406345,0.0774999999999999,9.919999999999987,0.008365275423229217
128,0.40866355318139475,40.814910578042166,0.07266666666666666,9.301333333333332,0.008379177732904437
128,0.4107935393500253,44.22229483699313,0.0678333333333333,8.682666666666663,0.009078703418632903
128,0.41292352551865585,54.10730764802053,0.06300000000000006,8.064000000000007,0.011108066660217372
128,0.41505351168728644,63.385945944224055,0.0581666666666667,7.445333333333338,0.013012943047354427
128,0.417183497855917,78.4202948835484,0.05333333333333323,6.826666666666654,0.016099449426444104
128,0.41931348402454754,88.67585511778938,0.04849999999999999,6.207999999999998,0.018204884933619835
128,0.4214434701931781,108.56942621484738,0.04366666666666663,5.589333333333329,0.022288974929252397
128,0.42357345636180865,151.75369168301938,0.038833333333333386,4.9706666666666734,0.03115457405707237
128,0.42570344253043924,194.61935676293078,0.03400000000000003,4.352000000000004,0.03995476548850885
128,0.4278334286990698,279.86622812067793,0.029166666666666674,3.7333333333333343,0.057455690424134856
128,0.4299634148677004,404.3931079642665,0.024333333333333207,3.1146666666666505,0.0830206823340967
128,0.4320934010363309,570.3391205938452,0.019499999999999962,2.495999999999995,0.11708889696931651
128,0.4342233872049615,1003.089472153641,0.014666666666666606,1.8773333333333255,0.20593123567205504
128,0.43635337337359204,1534.0476573591993,0.00983333333333336,1.2586666666666702,0.31493534567912823
128,0.4384833595422226,2018.4348960733557,0.0050000000000000044,0.6400000000000006,0.4143785811843478
