L,beta,energy,specific_heat,susceptibility,mean_cluster_size
8,0.5,-33.47314765764333,0.2406703827512784,1.380498006686003,2.88
16,0.5,-129.35326110868618,0.14557548832662803,1.5676072998818438,2.968
8,0.8,-70.99853943008296,1.2471602674972566,17.37843824036618,18.68
16,0.8,-260.09242767618025,1.0340143086412357,24.56568291284959,28.612
8,1.1,-94.28080469855742,0.9813120366011269,42.84960346874167,29.388
16,1.1,-365.4893164854795,1.1169575525287168,142.28258797488388,105.06
