L,beta,energy,energy_per_site,specific_heat,susceptibility_standard,susceptibility_improved,mean_cluster_size,ratio_mean_cluster_to_chi_beta
8,0.0,0.5215367713875199,0.008149012052929998,0.0,0.0,0.0,1.0,
8,0.05,-5.7232440524474395,-0.08942568831949124,0.0011423286649160022,0.10819053512638749,0.05897130905586365,1.1,0.9326569289465559
8,0.1,-8.525136645156527,-0.13320526008057074,0.005518413727915744,0.08641726388391203,0.11728790021884626,1.185,1.010334397485948
8,0.15000000000000002,-5.3993632854320515,-0.0843650513348758,0.024990487419461464,0.2448039901420079,0.1831813307629241,1.22,0.9990101023823288
8,0.2,-15.37849458664046,-0.2402889779162572,0.02272515780124293,0.17009417127337648,0.31057615494404645,1.43,0.9208691506001995
8,0.25,-11.032590811010301,-0.17238423142203596,0.02665623279929767,0.4881785564812203,0.4657296559044914,1.685,0.9044946884086484
8,0.30000000000000004,-21.46840330843,-0.3354438016942187,0.04423275202696528,0.5161603895636415,0.5282774825020252,1.725,0.9795988228554038
8,0.35000000000000003,-19.286838457853943,-0.30135685090396785,0.1212768717727744,0.7336183465407731,0.7782472619363132,2.06,0.9264407795102556
8,0.4,-26.230377635531184,-0.40984965055517475,0.12240324574398814,1.1064289802197307,1.0889056385798563,2.29,0.8412115499692345
8,0.45,-32.212943687554954,-0.5033272451180462,0.21530682442421903,1.1637245416631978,1.3824951919579809,2.81,0.9146505588993274
8,0.5,-32.228759440879706,-0.5035743662637454,0.42001129179049546,1.8075772884159296,1.560115346603315,2.87,0.9198037844600937
8,0.55,-37.65319413083073,-0.5883311582942301,0.4523846531442326,2.8926136420396165,2.9369704146662428,4.52,0.8464504741299919
8,0.6000000000000001,-42.52810140102793,-0.6645015843910614,0.5584307754356211,3.449368424516092,3.6563979614990956,5.22,0.8565807204191482
8,0.65,-51.40140454153755,-0.8031469459615243,0.5741493937417526,6.0855812760933246,6.632659294563761,8.425,0.8256492240583543
8,0.7000000000000001,-54.646953095666156,-0.8538586421197837,0.5738747197561156,9.291209858647916,7.700306827897301,9.095,0.8267852362629141
8,0.75,-67.0358635941189,-1.0474353686581077,0.8487520623909388,14.094521954248943,12.561740314067807,13.795,0.8236318966420048
8,0.8,-68.01025456740716,-1.0626602276157369,1.5725842485589876,15.57579373450376,17.049937846167953,17.39,0.8159560536536961
8,0.8500000000000001,-70.2642633384687,-1.0978791146635734,1.1238489610521527,18.52325244185868,18.382880292421728,17.85,0.8253603221392247
8,0.9,-81.08412121629146,-1.2669393940045541,0.8651029351221722,26.264118354079518,27.087284814054417,24.305,0.8075560230625357
8,0.9500000000000001,-83.86306801291076,-1.3103604377017306,0.7215374795428442,30.49582504458007,31.019267010626947,26.75,0.8192488878378037
8,1.0,-86.0371650546366,-1.344330703978697,1.002880609273916,33.10510259452364,32.77572169856548,27.4,0.8359846429010666
8,1.05,-91.32340379396709,-1.4269281842807358,1.2199861971045247,39.87176544045473,41.236992231068136,31.91,0.8125107624788601
8,1.1,-91.84358818600148,-1.4350560654062732,0.7709287995638722,41.583319323904306,42.97809444533557,32.255,0.8255484673739582
8,1.1500000000000001,-94.59636802438534,-1.478068250381021,0.767862454392554,45.822032553102964,38.843184456201044,28.315,0.838300218065712
8,1.2000000000000002,-97.18964605323323,-1.5185882195817693,0.48742238641512825,49.87939593213693,47.98705400383224,33.01,0.8254726367831747
8,1.25,-98.49542648145182,-1.5389910387726846,0.591662034453222,53.29196218238556,51.236608667184214,34.625,0.8447329190177368
8,1.3,-98.70554502475899,-1.5422741410118592,0.7776241556619309,55.86852774271987,53.64322392964864,34.255,0.8301421267745136
8,1.35,-100.77725519704067,-1.5746446124537605,0.5627873334269844,59.72707645237919,64.77811732676045,38.13,0.7946433475419173
8,1.4000000000000001,-100.01488064623354,-1.562732510097399,0.702877738311146,61.78430192196879,65.76194471571064,37.62,0.8008887241349711
8,1.4500000000000002,-102.85143264581716,-1.607053635090893,0.5562564709271863,66.17401884539777,66.9650521997534,38.355,0.8305040938981723
8,1.5,-102.75980862902641,-1.6056220098285376,0.8262674363884983,68.53638067920832,71.93728095115117,39.125,0.8158148212447952
8,1.55,-104.66986234142433,-1.6354665990847552,0.637685869674028,73.68813092882999,72.94542150159525,38.545,0.8190335838787832
8,1.6,-106.62156973044824,-1.6659620270382538,0.5200655918983831,76.53518846253012,73.55659319701056,37.835,0.8229853690730782
8,1.6500000000000001,-106.86484619931258,-1.669763221864259,0.49417414155959216,80.55522400600911,80.58071184400592,40.12,0.8215117301042335
8,1.7000000000000002,-109.44128173043609,-1.7100200270380639,0.9172326096203652,84.91042862617526,78.1185054470237,38.165,0.8305394429748648
8,1.75,-109.7139131138902,-1.7142798924045344,0.6012836443760214,87.95982677430528,87.27484927697417,40.61,0.8142953048759929
8,1.8,-108.45486870360524,-1.694607323493832,0.5486667306395441,88.55292952524837,93.98293603482398,42.66,0.8170419359057621
8,1.85,-109.55781429758204,-1.7118408483997194,0.8914721565359485,93.36962968488817,81.77828710997892,38.095,0.8617904885342147
8,1.9000000000000001,-110.80193786247477,-1.7312802791011683,0.6108221314495439,97.71227648322203,93.99864060426185,41.815,0.8452090316335686
8,1.9500000000000002,-110.41139456158959,-1.7251780400248373,0.3717382741521225,99.69632402730882,103.84147944538122,43.93,0.8249449108153114
8,2.0,-110.47753369611426,-1.7262114640017854,0.4162717212429925,103.32214133894591,109.10159803537142,44.69,0.8192363962535401
24,0.0,-55.31986318374915,-0.09604142913845339,0.0,0.0,0.0,1.0,
24,0.05,7.980818999822005,0.013855588541357648,0.000619245524249097,0.0330684816702974,0.05369048113707756,1.075,1.001108555216156
24,0.1,-35.22786079852061,-0.06115948055298717,0.0023029090698152965,0.018461481709511007,0.12187044557253134,1.155,0.947727723956339
24,0.15000000000000002,-94.89072220509723,-0.16474083716162713,0.0015001339531890072,0.23705042184715522,0.20730673015499823,1.34,0.9695777838457884
24,0.2,-143.02091515172583,-0.24830019991619068,0.010586194003056387,0.06854316590273325,0.3060128143525301,1.445,0.9444048956298572
24,0.25,-122.82573169280855,-0.21323911752223706,0.028233215639480173,0.13688046943902665,0.3974410221577851,1.545,0.9718423073264384
24,0.30000000000000004,-152.4981820387002,-0.2647537882616323,0.07161984988401117,0.21483398166845633,0.6432634450449992,1.88,0.8767791864195635
24,0.35000000000000003,-208.09463179478226,-0.36127540242149697,0.031458101303168055,0.2845322612829594,0.9583077153345836,2.33,0.8509792699678687
24,0.4,-195.44920922841663,-0.33932154379933444,0.030850857264118133,0.4106110340050602,1.0719149874317477,2.37,0.8843984934582905
24,0.45,-259.4006172211582,-0.45034829378673297,0.14361965028411933,1.1603265508307634,1.3229563718541404,2.71,0.9217991053558743
24,0.5,-298.1108272146503,-0.517553519469879,0.055620909202976535,3.2599654638419433,2.1869491345009022,3.67,0.8390684406195744
24,0.55,-365.24423012231097,-0.6341045661845677,0.09370023242459022,1.4804044936229632,2.509656317885582,3.79,0.8305918165544749
24,0.6000000000000001,-396.1843557737449,-0.687820062107196,0.23241470065442632,5.682166958685896,4.040715214233254,5.71,0.8478697008717803
24,0.65,-400.13601257876695,-0.6946805773936926,0.10490322003119319,3.1688840527673423,3.820352105506237,4.965,0.8447519785803501
24,0.7000000000000001,-510.980639327219,-0.8871191654986441,0.43008625369600656,7.798147500177498,8.993969728211699,10.66,0.8296670130647299
