beta,T,T_over_T_c,energy_per_spin,magnetization_abs,specific_heat,binder,tau_energy,tau_magnetization
0.35,2.857142857142857,1.2591051243136329,-1.0159765625,0.478984375,0.702814070068361,0.4430204890128232,1511.7374140679324,693.9171827388891
0.37222222222222223,2.6865671641791042,1.1839346691307293,-1.1587109375,0.56767578125,0.8568742306827491,0.5099479769736524,450.8208941984623,988.4204406503437
0.39444444444444443,2.535211267605634,1.11723412439097,-1.280625,0.6507421875,0.9611798391203715,0.5610665339386085,810240.8640525327,3330.757201795265
0.4166666666666667,2.4,1.0576483044234515,-1.4175390625,0.74072265625,1.007264522976348,0.6026746609825442,240.29581302355007,1106.4540621803596
0.4388888888888889,2.278481012658228,1.0040964915412516,-1.5362890625,0.8059765625,1.0152941439977547,0.6247190752197809,672.6218844299596,176.15802580458072
0.46111111111111114,2.1686746987951806,0.9557062991778177,-1.6441015625,0.86380859375,0.8905450889485681,0.6423899402507132,304.4947587898987,1038.6949190466262
0.4833333333333334,2.068965517241379,0.9117657796753892,-1.7208203125,0.89861328125,0.838964822889546,0.6504087663802478,239.31248612174375,1358.0028626228477
0.5055555555555555,1.978021978021978,0.8716881629863612,-1.7787890625,0.924765625,0.6780835259663153,0.6567826182194652,162.68181830659955,169.38398665974384
0.5277777777777778,1.894736842105263,0.8349855034921986,-1.84796875,0.952109375,0.5185679868344992,0.6614883858742353,358.6995063851281,1150.9708122289953
0.55,1.8181818181818181,0.8012487154723118,-1.8833984375,0.9641796875,0.43409266967773996,0.6629740029868767,479.9293302331188,921.3009871554336
