L,beta,energy_per_site,specific_heat,susceptibility,U4,U2,mean_m2,mean_m4,mean_mabs,dU4_dbeta,dU2_dbeta,dlnm2_dbeta,dlnmabs_dbeta,denergy_per_site,dspecific_heat,dsusceptibility,dU4,dU2,dmean_m2,dmean_m4,dmean_mabs,ddU4_dbeta,ddU2_dbeta,ddlnm2_dbeta,ddlnmabs_dbeta
8,0.44068679350977147,-1.491809375,1.1452782364243697,18.24814466039363,0.6128241048765961,0.64310945685206,0.647006591796875,0.4862358504772186,0.7773671875,1.389329977999397,0.6424117272822921,7.287047684593134,4.543536100419075,0.004048866854374431,0.020935185675728513,0.09350639602093055,0.0014398828544169467,0.0007848355248431373,0.0033153646974325417,0.0033696699296995635,0.0027649517998263083,0.05181323313059032,0.02692292929909652,0.16164210405165236,0.11442002597289602
16,0.44068679350977147,-1.45029140625,1.4884765446414978,61.13223587607684,0.6103769208678982,0.6419157638985525,0.5418764526367188,0.3432151792839169,0.7102265625,2.8460915368313295,1.3537023680460367,15.905182218811149,9.842792117392037,0.002216988948073006,0.02589708081042784,0.2939968694968741,0.0013109950051500097,0.0007767384683503047,0.0026059897604957393,0.0023082076731198984,0.0023731323725893383,0.11200528011745117,0.06759619514385981,0.31101468261310117,0.23853304826572633
32,0.44068679350977147,-1.436128125,1.8631996876767827,207.77153116296898,0.6108454598607621,0.6426353313985357,0.46042197971343995,0.24748874425386674,0.65533232421875,5.573000596581576,2.5893544067512844,33.22744291301751,20.236567577369897,0.001714785900475624,0.04262656641143984,1.3441133297891117,0.0015497850468493626,0.0008250348625831338,0.00297855686386271,0.0023345422580764276,0.0027902796863977617,0.27199387935706737,0.14870971599739277,0.8744288763604627,0.6191499962869594
64,0.44068679350977147,-1.424306298828125,2.2020060996673454,697.4472136090932,0.6106093668378996,0.6423105703522283,0.386385980117321,0.17440120232077205,0.6000632080078125,11.295178605935766,5.25676394541197,67.96091536596123,41.32868146273904,0.00082122254786926,0.040879088330734246,4.2001959424678565,0.001649133196444044,0.0008757242924515882,0.0023269098997717743,0.0014500227980020865,0.0024787828230703165,0.5580038522406173,0.2812507670428724,1.814366556744027,1.2668344867930026
128,0.44068679350977147,-1.4185489624023437,2.539559009253672,2332.490095046156,0.6102479174175675,0.6427281327270307,0.3230500652603805,0.12202515427255176,0.5490032043457032,22.627152778956702,10.426539214972834,138.59590414913328,83.88983597317565,0.0005951846816221068,0.06321125195338649,16.781746781437985,0.0015635850654183265,0.0007754609441318568,0.0023242732753467263,0.0013127669346595268,0.002519647925698681,1.2114130433316035,0.5916896520392065,4.095518821764141,2.8149768231183923
