L,beta_peak,specific_heat_peak,err
8,0.7932362283175887,1.135181086521629,0.08813735870195427
16,0.8813735870195429,1.4117170027080752,0.01
32,0.8813735870195429,1.7201320620725913,0.01
64,0.8813735870195429,2.1824158911045446,0.01
