beta,E
0.300000012,0.704532709
0.301003356,0.707732502
0.302006701,0.710943578
0.303010045,0.714166056
0.30401339,0.717400058
0.305016735,0.720645711
0.306020079,0.723903141
0.307023424,0.727172481
0.308026768,0.730453865
0.309030113,0.73374743
0.310033457,0.737053316
0.311036802,0.740371669
0.312040146,0.743702637
0.313043491,0.74704637
0.314046835,0.750403025
0.31505018,0.753772762
0.316053524,0.757155746
0.317056869,0.760552145
0.318060213,0.763962132
0.319063558,0.767385888
0.320066902,0.770823596
0.321070247,0.774275445
0.322073591,0.777741631
0.323076936,0.781222355
0.32408028,0.784717825
0.325083625,0.788228255
0.326086969,0.791753867
0.327090314,0.795294889
0.328093659,0.798851559
0.329097003,0.802424119
0.330100348,0.806012825
0.331103692,0.809617936
0.332107037,0.813239725
0.333110381,0.816878473
0.334113726,0.820534471
0.33511707,0.824208022
0.336120415,0.827899439
0.337123759,0.831609048
0.338127104,0.835337188
0.339130448,0.83908421
0.340133793,0.842850481
0.341137137,0.846636379
0.342140482,0.8504423
0.343143826,0.854268658
0.344147171,0.858115879
0.345150515,0.861984411
0.34615386,0.865874719
0.347157204,0.869787289
0.348160549,0.873722624
0.349163893,0.877681254
0.350167238,0.881663727
0.351170583,0.885670618
0.352173927,0.889702525
0.353177272,0.893760073
0.354180616,0.897843914
0.355183961,0.901954728
0.356187305,0.906093227
0.35719065,0.910260151
0.358193994,0.914456275
0.359197339,0.918682408
0.360200683,0.922939393
0.361204028,0.927228111
0.362207372,0.93154948
0.363210717,0.935904459
0.364214061,0.940294047
0.365217406,0.944719286
0.36622075,0.949181262
0.367224095,0.953681107
0.368227439,0.958219999
0.369230784,0.962799163
0.370234128,0.967419873
0.371237473,0.972083455
0.372240817,0.976791283
0.373244162,0.981544785
0.374247507,0.986345439
0.375250851,0.991194775
0.376254196,0.996094377
0.37725754,1.00104588
0.378260885,1.00605097
0.379264229,1.01111137
0.380267574,1.01622888
0.381270918,1.02140533
0.382274263,1.02664257
0.383277607,1.03194254
0.384280952,1.03730717
0.385284296,1.04273845
0.386287641,1.04823837
