beta,Cv
0.300000012,0.311378396
0.301003356,0.315282686
0.302006701,0.319251125
0.303010045,0.323285122
0.30401339,0.327386106
0.305016735,0.331555532
0.306020079,0.335794874
0.307023424,0.340105631
0.308026768,0.344489319
0.309030113,0.348947476
0.310033457,0.353481658
0.311036802,0.358093437
0.312040146,0.362784402
0.313043491,0.367556157
0.314046835,0.372410317
0.31505018,0.377348507
0.316053524,0.382372364
0.317056869,0.387483529
0.318060213,0.392683648
0.319063558,0.397974369
0.320066902,0.403357337
0.321070247,0.408834197
0.322073591,0.414406583
0.323076936,0.42007612
0.32408028,0.425844419
0.325083625,0.431713072
0.326086969,0.437683651
0.327090314,0.443757699
0.328093659,0.449936729
0.329097003,0.456222219
0.330100348,0.462615603
0.331103692,0.469118272
0.332107037,0.475731563
0.333110381,0.482456755
0.334113726,0.489295062
0.33511707,0.496247628
0.336120415,0.503315518
0.337123759,0.510499713
0.338127104,0.517801102
0.339130448,0.525220473
0.340133793,0.532758506
0.341137137,0.540415768
0.342140482,0.548192697
0.343143826,0.556089601
0.344147171,0.564106645
0.345150515,0.572243844
0.34615386,0.580501051
0.347157204,0.588877952
0.348160549,0.597374052
0.349163893,0.605988667
0.350167238,0.614720917
0.351170583,0.623569712
0.352173927,0.632533745
0.353177272,0.641611482
0.354180616,0.650801151
0.355183961,0.660100735
0.356187305,0.66950796
0.35719065,0.679020291
0.358193994,0.688634915
0.359197339,0.698348742
0.360200683,0.70815839
0.361204028,0.718060182
0.362207372,0.728050136
0.363210717,0.738123962
0.364214061,0.748277055
0.365217406,0.758504487
0.36622075,0.768801009
0.367224095,0.779161045
0.368227439,0.789578689
0.369230784,0.800047705
0.370234128,0.810561528
0.371237473,0.821113265
0.372240817,0.831695693
0.373244162,0.842301272
0.374247507,0.852922142
0.375250851,0.863550132
0.376254196,0.87417677
0.37725754,0.88479329
0.378260885,0.895390644
0.379264229,0.905959514
0.380267574,0.916490326
0.381270918,0.926973269
0.382274263,0.937398304
0.383277607,0.947755193
0.384280952,0.958033511
0.385284296,0.968222671
0.386287641,0.978311947
0.387290985,0.988290498
0.38829433,0.998147393
0.389297674,1.00787164
0.390301019,1.01745221
0.391304363,1.02687807
0.392307708,1.03613821
0.393311052,1.04522168
0.394314397,1.0541176
0.395317741,1.06281522
0.396321086,1.07130395
0.397324431,1.07957335
0.398327775,1.08761323
0.39933112,1.0954136
0.400334464,1.10296479
0.401337809,1.11025742
0.402341153,1.11728242
0.403344498,1.12403114
0.404347842,1.13049528
0.405351187,1.13666697
0.406354531,1.1425388
0.407357876,1.14810383
0.40836122,1.15335559
0.409364565,1.15828814
0.410367909,1.16289607
0.411371254,1.16717453
0.412374598,1.1711192
0.413377943,1.17472637
0.414381287,1.17799289
0.415384632,1.18091621
0.416387976,1.18349438
0.417391321,1.18572604
0.418394665,1.18761044
0.41939801,1.18914741
0.420401354,1.1903374
0.421404699,1.19118143
0.422408044,1.1916811
0.423411388,1.19183858
0.424414733,1.19165657
0.425418077,1.19113836
0.426421422,1.19028771
0.427424766,1.18910892
0.428428111,1.18760674
0.429431455,1.18578642
0.4304348,1.18365361
0.431438144,1.18121442
0.432441489,1.1784753
0.433444833,1.1754431
0.434448178,1.17212499
0.435451522,1.16852847
0.436454867,1.16466131
0.437458211,1.16053153
0.438461556,1.15614739
0.4394649,1.15151735
0.440468245,1.14665005
0.441471589,1.14155425
0.442474934,1.13623887
0.443478278,1.13071289
0.444481623,1.12498537
0.445484968,1.11906542
0.446488312,1.11296217
0.447491657,1.10668474
0.448495001,1.10024222
0.449498346,1.09364368
0.45050169,1.0868981
0.451505035,1.08001438
0.452508379,1.07300133
0.453511724,1.06586763
0.454515068,1.05862183
0.455518413,1.05127234
0.456521757,1.0438274
0.457525102,1.03629507
0.458528446,1.02868326
0.459531791,1.02099965
0.460535135,1.01325174
0.46153848,1.00544681
0.462541824,0.997591949
0.463545169,0.989694001
0.464548513,0.981759598
0.465551858,0.973795145
0.466555202,0.965806814
0.467558547,0.957800549
0.468561892,0.949782061
0.469565236,0.941756829
0.470568581,0.933730101
0.471571925,0.925706893
0.47257527,0.917691996
0.473578614,0.909689971
0.474581959,0.901705159
0.475585303,0.893741681
0.476588648,0.885803441
0.477591992,0.87789413
0.478595337,0.870017234
0.479598681,0.862176036
0.480602026,0.854373621
0.48160537,0.84661288
0.482608715,0.83889652
0.483612059,0.831227065
0.484615404,0.823606863
0.485618748,0.816038092
0.486622093,0.808522767
0.487625437,0.801062745
0.488628782,0.793659728
0.489632126,0.786315275
0.490635471,0.779030802
0.491638816,0.771807592
0.49264216,0.764646796
0.493645505,0.757549445
0.494648849,0.750516452
0.495652194,0.743548615
0.496655538,0.736646628
0.497658883,0.729811083
0.498662227,0.723042474
0.499665572,0.716341206
0.500668916,0.709707596
0.501672261,0.703141881
0.502675605,0.696644219
0.50367895,0.690214697
0.504682294,0.683853332
0.505685639,0.677560079
0.506688983,0.671334832
0.507692328,0.665177429
0.508695672,0.659087655
0.509699017,0.653065247
0.510702361,0.647109895
0.511705706,0.64122125
