beta,E
0.300000012,0.704499109
0.301003356,0.707696256
0.302006701,0.710904484
0.303010045,0.714123897
0.30401339,0.717354604
0.305016735,0.720596712
0.306020079,0.723850332
0.307023424,0.727115574
0.308026768,0.730392554
0.309030113,0.733681385
0.310033457,0.736982185
0.311036802,0.740295073
0.312040146,0.743620171
0.313043491,0.746957599
0.314046835,0.750307485
0.31505018,0.753669954
0.316053524,0.757045135
0.317056869,0.760433159
0.318060213,0.763834161
0.319063558,0.767248275
0.320066902,0.770675639
0.321070247,0.774116394
0.322073591,0.777570683
0.323076936,0.781038651
0.32408028,0.784520445
0.325083625,0.788016217
0.326086969,0.791526119
0.327090314,0.795050308
0.328093659,0.798588943
0.329097003,0.802142185
0.330100348,0.8057102
0.331103692,0.809293156
0.332107037,0.812891224
0.333110381,0.816504579
0.334113726,0.820133398
0.33511707,0.823777864
0.336120415,0.827438162
0.337123759,0.831114481
0.338127104,0.834807013
0.339130448,0.838515955
0.340133793,0.842241508
0.341137137,0.845983878
0.342140482,0.849743273
0.343143826,0.853519908
0.344147171,0.857314001
0.345150515,0.861125775
0.34615386,0.864955459
0.347157204,0.868803286
0.348160549,0.872669495
0.349163893,0.876554329
0.350167238,0.880458039
0.351170583,0.88438088
0.352173927,0.888323113
0.353177272,0.892285007
0.354180616,0.896266836
0.355183961,0.900268881
0.356187305,0.904291429
0.35719065,0.908334776
0.358193994,0.912399225
0.359197339,0.916485086
0.360200683,0.920592677
0.361204028,0.924722326
0.362207372,0.928874368
0.363210717,0.933049148
0.364214061,0.937247019
0.365217406,0.941468346
0.36622075,0.945713503
0.367224095,0.949982874
0.368227439,0.954276854
0.369230784,0.958595853
0.370234128,0.962940288
0.371237473,0.967310591
0.372240817,0.971707209
0.373244162,0.976130599
0.374247507,0.980581236
0.375250851,0.985059607
0.376254196,0.989566216
0.37725754,0.994101585
0.378260885,0.998666251
0.379264229,1.00326077
0.380267574,1.00788572
0.381270918,1.0125417
0.382274263,1.01722931
0.383277607,1.02194921
0.384280952,1.02670206
0.385284296,1.03148853
0.386287641,1.03630936
0.387290985,1.04116527
0.38829433,1.04605704
0.389297674,1.05098549
0.390301019,1.05595143
