beta,E
0.300000012,0.70449911
0.301003356,0.707696257
0.302006701,0.710904485
0.303010045,0.714123899
0.30401339,0.717354606
0.305016735,0.720596714
0.306020079,0.723850334
0.307023424,0.727115577
0.308026768,0.730392557
0.309030113,0.733681389
0.310033457,0.73698219
0.311036802,0.740295079
0.312040146,0.743620177
0.313043491,0.746957606
0.314046835,0.750307493
0.31505018,0.753669963
0.316053524,0.757045146
0.317056869,0.760433172
0.318060213,0.763834176
0.319063558,0.767248293
0.320066902,0.77067566
0.321070247,0.774116418
0.322073591,0.777570711
0.323076936,0.781038683
0.32408028,0.784520483
0.325083625,0.78801626
0.326086969,0.79152617
0.327090314,0.795050367
0.328093659,0.798589011
0.329097003,0.802142264
0.330100348,0.805710292
0.331103692,0.809293262
0.332107037,0.812891346
0.333110381,0.81650472
0.334113726,0.820133562
0.33511707,0.823778054
0.336120415,0.827438382
0.337123759,0.831114734
0.338127104,0.834807306
0.339130448,0.838516294
0.340133793,0.8422419
0.341137137,0.84598433
0.342140482,0.849743795
0.343143826,0.85352051
0.344147171,0.857314696
0.345150515,0.861126577
0.34615386,0.864956383
0.347157204,0.868804351
0.348160549,0.872670722
0.349163893,0.876555742
0.350167238,0.880459666
0.351170583,0.884382752
0.352173927,0.888325268
0.353177272,0.892287486
0.354180616,0.896269686
0.355183961,0.900272157
0.356187305,0.904295194
0.35719065,0.908339101
0.358193994,0.912404193
0.359197339,0.91649079
0.360200683,0.920599224
0.361204028,0.924729839
0.362207372,0.928882986
0.363210717,0.93305903
0.364214061,0.937258349
0.365217406,0.941481331
0.36622075,0.945728379
0.367224095,0.949999913
0.368227439,0.954296365
0.369230784,0.958618186
0.370234128,0.962965845
0.371237473,0.967339829
0.372240817,0.971740647
0.373244162,0.976168829
0.374247507,0.980624932
0.375250851,0.985109535
0.376254196,0.98962325
0.37725754,0.994166715
0.378260885,0.998740604
0.379264229,1.00334563
0.380267574,1.00798254
0.381270918,1.01265212
0.382274263,1.01735522
0.383277607,1.02209273
0.384280952,1.0268656
0.385284296,1.03167484
0.386287641,1.03652152
0.387290985,1.04140681
0.38829433,1.04633193
0.389297674,1.05129822
0.390301019,1.0563071
0.391304363,1.06136011
0.392307708,1.06645891
0.393311052,1.07160529
0.394314397,1.07680118
0.395317741,1.08204868
0.396321086,1.08735007
0.397324431,1.09270781
0.398327775,1.09812459
0.39933112,1.1036033
0.400334464,1.10914712
0.401337809,1.11475946
0.402341153,1.12044406
0.403344498,1.12620496
0.404347842,1.13204654
0.405351187,1.13797353
0.406354531,1.14399104
0.407357876,1.15010459
0.40836122,1.15632008
0.409364565,1.16264382
0.410367909,1.16908253
0.411371254,1.17564329
0.412374598,1.18233356
0.413377943,1.18916108
0.414381287,1.19613383
0.415384632,1.20325989
0.416387976,1.21054737
0.417391321,1.2180042
0.418394665,1.22563794
0.41939801,1.23345555
0.420401354,1.24146311
0.421404699,1.24966551
0.422408044,1.2580661
0.423411388,1.26666633
0.424414733,1.27546541
0.425418077,1.28445992
0.426421422,1.29364357
0.427424766,1.30300685
0.428428111,1.31253697
0.429431455,1.32221775
0.4304348,1.33202973
0.431438144,1.3419504
0.432441489,1.35195456
0.433444833,1.36201489
0.434448178,1.3721025
0.435451522,1.3821877
0.436454867,1.39224078
0.437458211,1.40223271
0.438461556,1.41213588
0.4394649,1.42192474
0.440468245,1.4315763
0.441471589,1.44107047
0.442474934,1.45039035
0.443478278,1.45952225
0.444481623,1.46845569
0.445484968,1.47718325
0.446488312,1.48570028
0.447491657,1.49400468
0.448495001,1.50209653
0.449498346,1.50997775
0.45050169,1.51765176
0.451505035,1.52512318
0.452508379,1.53239754
0.453511724,1.539481
0.454515068,1.54638014
0.455518413,1.5531018
0.456521757,1.55965289
0.457525102,1.5660403
0.458528446,1.57227078
0.459531791,1.57835092
0.460535135,1.58428703
0.46153848,1.59008518
0.462541824,1.59575114
0.463545169,1.60129039
0.464548513,1.6067081
0.465551858,1.61200915
0.466555202,1.61719814
0.467558547,1.62227941
0.468561892,1.62725701
0.469565236,1.63213479
0.470568581,1.63691633
0.471571925,1.64160504
0.47257527,1.6462041
0.473578614,1.65071653
0.474581959,1.65514516
0.475585303,1.65949269
0.476588648,1.66376164
0.477591992,1.66795443
0.478595337,1.67207333
0.479598681,1.6761205
0.480602026,1.68009802
0.48160537,1.68400783
0.482608715,1.6878518
0.483612059,1.69163171
0.484615404,1.69534926
0.485618748,1.69900608
0.486622093,1.70260372
0.487625437,1.70614367
0.488628782,1.70962737
0.489632126,1.71305618
0.490635471,1.71643142
0.491638816,1.71975436
0.49264216,1.72302622
0.493645505,1.72624817
0.494648849,1.72942135
0.495652194,1.73254684
0.496655538,1.7356257
0.497658883,1.73865895
0.498662227,1.74164756
0.499665572,1.74459249
0.500668916,1.74749466
0.501672261,1.75035494
0.502675605,1.75317422
0.50367895,1.75595331
0.504682294,1.75869304
0.505685639,1.76139417
0.506688983,1.76405748
0.507692328,1.7666837
0.508695672,1.76927354
0.509699017,1.77182771
0.510702361,1.77434688
0.511705706,1.77683171
0.51270905,1.77928284
0.513712395,1.78170088
0.51471574,1.78408646
0.515719084,1.78644014
0.516722429,1.78876252
0.517725773,1.79105415
0.518729118,1.79331557
0.519732462,1.79554731
0.520735807,1.79774989
0.521739151,1.79992382
0.522742496,1.8020696
0.52374584,1.80418769
0.524749185,1.80627857
0.525752529,1.80834269
0.526755874,1.81038051
0.527759218,1.81239246
0.528762563,1.81437897
0.529765907,1.81634045
0.530769252,1.81827732
0.531772596,1.82018996
0.532775941,1.82207877
0.533779285,1.82394413
0.53478263,1.82578641
0.535785974,1.82760598
0.536789319,1.82940319
0.537792664,1.83117839
0.538796008,1.83293193
0.539799353,1.83466413
0.540802697,1.83637533
0.541806042,1.83806584
0.542809386,1.83973599
0.543812731,1.84138607
0.544816075,1.84301639
0.54581942,1.84462724
0.546822764,1.84621892
0.547826109,1.8477917
0.548829453,1.84934587
0.549832798,1.85088171
0.550836142,1.85239946
0.551839487,1.85389941
0.552842831,1.8553818
0.553846176,1.8568469
0.55484952,1.85829494
0.555852865,1.85972617
0.556856209,1.86114083
0.557859554,1.86253915
0.558862898,1.86392137
0.559866243,1.8652877
0.560869588,1.86663838
0.561872932,1.86797362
0.562876277,1.86929363
0.563879621,1.87059862
0.564882966,1.8718888
0.56588631,1.87316438
0.566889655,1.87442554
0.567892999,1.87567249
0.568896344,1.87690542
0.569899688,1.87812452
0.570903033,1.87932998
0.571906377,1.88052197
0.572909722,1.88170067
0.573913066,1.88286627
0.574916411,1.88401894
0.575919755,1.88515884
0.5769231,1.88628615
0.577926444,1.88740102
0.578929789,1.88850363
0.579933133,1.88959413
0.580936478,1.89067268
0.581939822,1.89173944
0.582943167,1.89279455
0.583946511,1.89383817
0.584949856,1.89487044
0.585953201,1.8958915
0.586956545,1.89690151
0.58795989,1.8979006
0.588963234,1.89888891
0.589966579,1.89986657
0.590969923,1.90083372
0.591973268,1.90179049
0.592976612,1.90273702
0.593979957,1.90367342
0.594983301,1.90459982
0.595986646,1.90551636
0.59698999,1.90642314
0.597993335,1.9073203
0.598996679,1.90820795
0.600000024,1.9090862
