beta,Cv
0.300000012,0.286290251
0.301003356,0.289204343
0.302006701,0.292147638
0.303010045,0.295120533
0.30401339,0.298123437
0.305016735,0.301156765
0.306020079,0.304220941
0.307023424,0.307316399
0.308026768,0.310443584
0.309030113,0.313602947
0.310033457,0.316794953
0.311036802,0.320020074
0.312040146,0.323278794
0.313043491,0.326571609
0.314046835,0.329899025
0.31505018,0.333261559
0.316053524,0.336659743
0.317056869,0.340094119
0.318060213,0.343565242
0.319063558,0.347073682
0.320066902,0.35062002
0.321070247,0.354204854
0.322073591,0.357828796
0.323076936,0.361492472
0.32408028,0.365196524
0.325083625,0.368941613
0.326086969,0.372728413
0.327090314,0.376557619
0.328093659,0.380429941
0.329097003,0.384346112
0.330100348,0.38830688
0.331103692,0.392313018
0.332107037,0.396365316
0.333110381,0.400464589
0.334113726,0.404611675
0.33511707,0.408807434
0.336120415,0.413052752
0.337123759,0.417348542
0.338127104,0.421695744
0.339130448,0.426095325
0.340133793,0.430548284
0.341137137,0.435055649
0.342140482,0.439618483
0.343143826,0.444237882
0.344147171,0.448914978
0.345150515,0.453650944
0.34615386,0.458446988
0.347157204,0.463304366
0.348160549,0.468224374
0.349163893,0.473208358
0.350167238,0.478257713
0.351170583,0.483373888
0.352173927,0.488558388
0.353177272,0.49381278
0.354180616,0.499138691
0.355183961,0.504537822
0.356187305,0.510011944
0.35719065,0.515562906
0.358193994,0.521192646
0.359197339,0.526903187
0.360200683,0.532696656
0.361204028,0.538575281
0.362207372,0.544541408
0.363210717,0.550597505
0.364214061,0.556746176
0.365217406,0.562990172
0.36622075,0.569332404
0.367224095,0.575775955
0.368227439,0.582324103
0.369230784,0.588980331
0.370234128,0.595748355
0.371237473,0.602632141
0.372240817,0.609635931
0.373244162,0.616764276
0.374247507,0.62402206
0.375250851,0.631414543
0.376254196,0.638947393
0.37725754,0.646626736
0.378260885,0.654459201
0.379264229,0.662451977
0.380267574,0.670612874
0.381270918,0.67895039
0.382274263,0.68747379
0.383277607,0.696193186
0.384280952,0.705119636
0.385284296,0.714265248
0.386287641,0.723643293
0.387290985,0.733268336
0.38829433,0.743156378
0.389297674,0.75332501
0.390301019,0.763793587
0.391304363,0.774583408
0.392307708,0.785717924
0.393311052,0.797222954
0.394314397,0.809126914
0.395317741,0.821461068
0.396321086,0.834259778
0.397324431,0.847560777
0.398327775,0.861405423
0.39933112,0.875838967
0.400334464,0.890910788
0.401337809,0.906674603
0.402341153,0.923188629
0.403344498,0.940515662
0.404347842,0.958723062
0.405351187,0.977882586
0.406354531,0.998070044
0.407357876,1.0193647
0.40836122,1.0418484
0.409364565,1.06560425
0.410367909,1.09071494
0.411371254,1.11726045
0.412374598,1.1453151
0.413377943,1.17494401
0.414381287,1.20619862
0.415384632,1.23911151
0.416387976,1.27369037
0.417391321,1.30991118
0.418394665,1.34771089
0.41939801,1.3869797
0.420401354,1.42755343
0.421404699,1.46920658
0.422408044,1.5116465
0.423411388,1.55450982
0.424414733,1.59736168
0.425418077,1.63969874
0.426421422,1.68095676
0.427424766,1.7205231
0.428428111,1.75775423
0.429431455,1.79199807
0.4304348,1.82261983
0.431438144,1.84903011
0.432441489,1.87071317
0.433444833,1.8872529
0.434448178,1.89835454
0.435451522,1.90385975
0.436454867,1.90375389
0.437458211,1.89816473
0.438461556,1.88735282
0.4394649,1.87169459
0.440468245,1.85165998
0.441471589,1.82778657
0.442474934,1.80065273
0.443478278,1.77085154
0.444481623,1.73896748
0.445484968,1.70555691
0.446488312,1.67113306
0.447491657,1.63615569
0.448495001,1.60102514
0.449498346,1.5660802
0.45050169,1.53159915
0.451505035,1.49780319
0.452508379,1.4648614
0.453511724,1.4328968
0.454515068,1.40199269
0.455518413,1.37219901
0.456521757,1.34353845
0.457525102,1.31601197
0.458528446,1.28960368
0.459531791,1.2642851
0.460535135,1.24001872
0.46153848,1.21676093
0.462541824,1.19446438
0.463545169,1.17307982
0.464548513,1.15255757
0.465551858,1.13284854
0.466555202,1.11390505
0.467558547,1.09568131
0.468561892,1.0781338
0.469565236,1.06122144
0.470568581,1.04490571
0.471571925,1.02915064
0.47257527,1.01392273
0.473578614,0.999190905
