beta,Cv
0.300000012,0.286290237
0.301003356,0.289204327
0.302006701,0.292147619
0.303010045,0.295120512
0.30401339,0.298123412
0.305016735,0.301156735
0.306020079,0.304220906
0.307023424,0.307316358
0.308026768,0.310443536
0.309030113,0.313602891
0.310033457,0.316794887
0.311036802,0.320019996
0.312040146,0.323278703
0.313043491,0.326571503
0.314046835,0.3298989
0.31505018,0.333261414
0.316053524,0.336659573
0.317056869,0.34009392
0.318060213,0.34356501
0.319063558,0.347073411
0.320066902,0.350619704
0.321070247,0.354204485
0.322073591,0.357828365
0.323076936,0.361491969
0.32408028,0.365195939
0.325083625,0.36894093
0.326086969,0.372727618
0.327090314,0.376556692
0.328093659,0.380428863
0.329097003,0.384344857
0.330100348,0.38830542
0.331103692,0.39231132
0.332107037,0.396363342
0.333110381,0.400462295
0.334113726,0.40460901
0.33511707,0.408804339
0.336120415,0.41304916
0.337123759,0.417344373
0.338127104,0.421690907
0.339130448,0.426089716
0.340133793,0.430541781
0.341137137,0.435048113
0.342140482,0.439609752
0.343143826,0.44422777
0.344147171,0.448903272
0.345150515,0.453637395
0.34615386,0.458431314
0.347157204,0.463286237
0.348160549,0.468203413
0.349163893,0.473184131
0.350167238,0.478229721
0.351170583,0.483341556
0.352173927,0.488521056
0.353177272,0.493769687
0.354180616,0.499088967
0.355183961,0.504480464
0.356187305,0.5099458
0.35719065,0.515486657
0.358193994,0.521104775
0.359197339,0.526801956
0.360200683,0.532580071
0.361204028,0.538441056
0.362207372,0.544386923
0.363210717,0.55041976
0.364214061,0.556541733
0.365217406,0.562755096
0.36622075,0.569062189
0.367224095,0.575465449
0.368227439,0.58196741
0.369230784,0.588570711
0.370234128,0.595278102
0.371237473,0.60209245
0.372240817,0.609016747
0.373244162,0.616054113
0.374247507,0.62320781
0.375250851,0.630481248
0.376254196,0.637877991
0.37725754,0.645401772
0.378260885,0.653056503
0.379264229,0.660846283
0.380267574,0.668775416
0.381270918,0.676848421
0.382274263,0.685070051
0.383277607,0.693445306
0.384280952,0.701979458
