beta,beta_over_beta_c,energy_per_spin,magnetization_abs,binder
0.1,0.22691853142130222,-0.203702392578125,0.0158935546875,-0.0047553923085288385
0.12083333333333333,0.2741932254674069,-0.2483343505859375,0.01611175537109375,-0.019307289013082984
0.14166666666666666,0.32146791951351145,-0.2930084228515625,0.01706329345703125,-0.023597246739655464
0.1625,0.36874261355961613,-0.3402520751953125,0.01867156982421875,0.021823497637613043
0.18333333333333335,0.41601730760572075,-0.3894256591796875,0.02015411376953125,0.03714379815270563
0.20416666666666666,0.4632920016518254,-0.438907470703125,0.02135223388671875,0.03903483917642159
0.225,0.51056669569793,-0.4914471435546875,0.0237078857421875,-0.014220671121168094
0.24583333333333332,0.5578413897440346,-0.54691650390625,0.02535858154296875,-0.05667262508260951
0.26666666666666666,0.6051160837901393,-0.6052001953125,0.02884063720703125,-0.06181212354286503
0.2875,0.6523907778362439,-0.668048095703125,0.03108154296875,0.017624361806548916
0.30833333333333335,0.6996654718823485,-0.733043212890625,0.03476409912109375,0.03684526733548843
0.32916666666666666,0.7469401659284531,-0.8042706298828125,0.0408319091796875,-0.0005578129712557889
0.35,0.7942148599745578,-0.881387939453125,0.0496923828125,0.03655158519249968
0.35666666666666663,0.8093427620693112,-0.9058392333984375,0.0531396484375,0.021803208865693646
0.36333333333333334,0.8244706641640648,-0.9365972900390624,0.0577587890625,0.013726184061203406
0.37,0.8395985662588182,-0.9640093994140625,0.062470703125,0.05377976562989262
0.37666666666666665,0.8547264683535717,-0.99462890625,0.069884033203125,0.05491510571407565
0.3833333333333333,0.8698543704483251,-1.0242120361328124,0.07444793701171876,-0.052867945847316244
0.39,0.8849822725430787,-1.0581475830078124,0.086514892578125,0.016739900239744476
0.39666666666666667,0.9001101746378322,-1.091953125,0.09651824951171875,0.049629926046272255
0.4033333333333333,0.9152380767325856,-1.1287432861328126,0.11663177490234375,0.031153834881198827
0.41,0.9303659788273391,-1.1719268798828124,0.14496185302734374,0.1316801391582043
0.4166666666666667,0.9454938809220926,-1.2141351318359375,0.1909521484375,0.19907354823528334
0.42333333333333334,0.9606217830168461,-1.2659307861328124,0.274373779296875,0.34997805771054824
0.43,0.9757496851115995,-1.320740966796875,0.39548065185546877,0.48452405039128665
0.43666666666666665,0.990877587206353,-1.390081787109375,0.55380126953125,0.5981717405351533
0.44333333333333336,1.0060054893011066,-1.45392578125,0.6739230346679688,0.6413480865188248
0.45,1.02113339139586,-1.5105792236328126,0.749703369140625,0.6564093535673122
0.45666666666666667,1.0362612934906135,-1.55820556640625,0.79445068359375,0.6605981879055827
0.4633333333333334,1.0513891955853671,-1.5977740478515625,0.82693603515625,0.6632073471038188
0.47000000000000003,1.0665170976801206,-1.6303851318359375,0.84931396484375,0.6642939021800811
0.4766666666666667,1.081644999774874,-1.661673583984375,0.8684707641601562,0.6649047187020309
0.4833333333333334,1.0967729018696275,-1.6869354248046875,0.8820709228515625,0.6651459229086576
0.49,1.111900803964381,-1.712703857421875,0.8954876708984375,0.6656906962630754
0.4966666666666667,1.1270287060591344,-1.7311285400390626,0.9039923095703125,0.6654947052248846
0.5033333333333334,1.142156608153888,-1.752449951171875,0.9141818237304687,0.6659405777522835
0.51,1.1572845102486413,-1.7710150146484376,0.9219818115234375,0.666017566322977
0.5166666666666667,1.172412412343395,-1.7853936767578125,0.928360595703125,0.6662490143310152
0.5233333333333334,1.1875403144381484,-1.8028485107421874,0.93580078125,0.6665257549470873
0.53,1.202668216532902,-1.8164801025390624,0.9407992553710938,0.66643744166288
0.5366666666666667,1.2177961186276554,-1.82894775390625,0.9456674194335938,0.6665508402662242
0.5433333333333333,1.2329240207224088,-1.8400439453125,0.9499530029296875,0.666571869359687
0.55,1.2480519228171623,-1.8502960205078125,0.9535269165039062,0.6665817847653711
0.5727272727272728,1.2996243163220036,-1.8816058349609375,0.9645941162109375,0.6666133431190957
0.5954545454545455,1.3511967098268451,-1.9062579345703126,0.972735595703125,0.6666323858745069
0.6181818181818182,1.4027691033316865,-1.923486328125,0.9781857299804687,0.6666407789399413
0.640909090909091,1.454341496836528,-1.9382684326171875,0.982706298828125,0.6666465669696695
0.6636363636363637,1.5059138903413694,-1.949832763671875,0.98612548828125,0.6666522107439578
0.6863636363636364,1.5574862838462107,-1.9593701171875,0.9888986206054687,0.6666555510238292
0.7090909090909091,1.6090586773510522,-1.9669757080078125,0.9910748291015625,0.6666588339724255
0.7318181818181819,1.6606310708558938,-1.972491455078125,0.992608642578125,0.6666601663848846
0.7545454545454546,1.7122034643607351,-1.977559814453125,0.9940408325195312,0.6666617122766161
0.7772727272727273,1.7637758578655764,-1.9816986083984376,0.9951605224609374,0.6666628734480662
0.8,1.8153482513704178,-1.9848919677734376,0.9960348510742187,0.666663495996838
