L,beta,susceptibility_standard,susceptibility_improved,mean_cluster_size,ratio_mean_cluster_to_chi_beta
24,1.0,203.6134029094596,202.14934667091174,164.283,0.8126813304395382
24,0.9,79.06598278560033,90.0377376285971,80.845,0.8081111533492192
24,0.8,22.998824504103382,23.76474393578016,24.343,0.8194660145560995
24,0.7,6.622504745942937,9.0258737928194,10.671,0.8275874637137707
24,0.6,4.096982605251523,3.9976658873330058,5.668,0.8506964053138524
24,0.5,2.311478162067849,1.9691115860404582,3.415,0.8671423255568194
