L,beta,R,G_standard,G_cluster
64,0.3,25,-0.004400390625,0.0
64,0.3,26,-0.016,0.0
64,0.3,27,-0.010248046875,0.0
64,0.3,28,-0.0004296875,0.0
64,0.3,29,0.01309765625,0.0
64,0.3,30,0.00926953125,0.0
64,0.3,31,0.005611328125,0.0
64,0.3,32,0.015375,0.0
128,0.42,0,1.0,1.0
128,0.42,1,0.615919921875,0.6275599259872118
128,0.42,2,0.45487548828125,0.4616947749567838
128,0.42,3,0.36578125,0.36529184143376303
128,0.42,4,0.3086123046875,0.30269199778691064
128,0.42,5,0.26075830078125,0.25731976012443514
128,0.42,6,0.2261845703125,0.22061677603271412
128,0.42,7,0.19814599609375,0.19140770098814036
128,0.42,8,0.177125,0.16830820361424328
128,0.42,9,0.15713134765625,0.14831432409962178
128,0.42,10,0.13644384765625,0.13109562565790456
128,0.42,11,0.11940673828125,0.11607203113703422
128,0.42,12,0.107861328125,0.10352030275262418
128,0.42,13,0.09886865234375,0.09279498689200391
128,0.42,14,0.09033642578125,0.0833527854913822
128,0.42,15,0.07752490234375,0.07515290591536994
128,0.42,16,0.06676513671875,0.0681390561172264
128,0.42,17,0.05922216796875,0.061547401241955485
128,0.42,18,0.055439453125,0.05572814861760736
128,0.42,19,0.04733740234375,0.0507192385500788
128,0.42,20,0.0452138671875,0.046459075525242796
128,0.42,21,0.042419921875,0.04270532448933539
128,0.42,22,0.03779345703125,0.0388158570025634
128,0.42,23,0.03553662109375,0.03519370456040757
128,0.42,24,0.0299365234375,0.031651735039970076
128,0.42,25,0.02568115234375,0.02852024375454474
128,0.42,26,0.02461279296875,0.025879887476777448
128,0.42,27,0.023591796875,0.023245217755071497
128,0.42,28,0.020626953125,0.020878363756019012
128,0.42,29,0.02206884765625,0.01877963275726442
128,0.42,30,0.02349658203125,0.01706640742108712
128,0.42,31,0.02284228515625,0.015461358178347668
128,0.42,32,0.02387548828125,0.01404182979680286
128,0.42,33,0.0228876953125,0.012727441827608448
128,0.42,34,0.01838134765625,0.011671738161651905
128,0.42,35,0.0193681640625,0.010698878025841
128,0.42,36,0.0215068359375,0.009744362152626458
128,0.42,37,0.021884765625,0.008947028201588643
128,0.42,38,0.02146044921875,0.008240553830659449
128,0.42,39,0.0209609375,0.00758898656664251
128,0.42,40,0.01983935546875,0.006992567351951456
128,0.42,41,0.0205576171875,0.006477652971885723
128,0.42,42,0.01672216796875,0.005997458674144888
128,0.42,43,0.01321142578125,0.005559153192407253
128,0.42,44,0.0135625,0.005172432654501593
128,0.42,45,0.0164775390625,0.004791574674115663
128,0.42,46,0.01675927734375,0.004491953012875196
128,0.42,47,0.0146240234375,0.004169569891886501
128,0.42,48,0.01708056640625,0.003925467622689507
128,0.42,49,0.01503857421875,0.00366003690016065
128,0.42,50,0.0140205078125,0.0034240640232230737
128,0.42,51,0.00954931640625,0.0032450037301763406
128,0.42,52,0.00872314453125,0.003127682563339363
128,0.42,53,0.01171728515625,0.003015275209102545
128,0.42,54,0.0130576171875,0.00294191362452717
128,0.42,55,0.007916015625,0.002838878507282328
128,0.42,56,0.00710107421875,0.0026991096192485902
128,0.42,57,0.00451806640625,0.0026017872729716747
128,0.42,58,0.0079287109375,0.002466987468773619
128,0.42,59,0.00953955078125,0.00240364810935677
128,0.42,60,0.01269091796875,0.0023592726574490756
128,0.42,61,0.01303759765625,0.002323000745712717
128,0.42,62,0.01358349609375,0.002329356249769636
128,0.42,63,0.0165419921875,0.0023531389021399173
128,0.42,64,0.01530908203125,0.0023412547267815014
128,0.4,0,1.0,1.0
128,0.4,1,0.543728515625,0.5643664933067802
128,0.4,2,0.35259716796875,0.3808119222107599
128,0.4,3,0.24894921875,0.27557105960790834
128,0.4,4,0.1833134765625,0.20667895740960598
128,0.4,5,0.13675,0.15745095080397353
128,0.4,6,0.0973681640625,0.11997811306337543
128,0.4,7,0.07765283203125,0.09320298715015045
128,0.4,8,0.05602587890625,0.07327361615625871
128,0.4,9,0.04069873046875,0.058891491614830614
128,0.4,10,0.03714501953125,0.04797996125875263
128,0.4,11,0.02719580078125,0.03903757445935785
128,0.4,12,0.02265771484375,0.03192630697592262
128,0.4,13,0.0146123046875,0.025722213537881164
128,0.4,14,0.00478662109375,0.020319111705762824
128,0.4,15,-0.001072265625,0.016017196540232783
128,0.4,16,-0.00028271484375,0.012344184765647168
128,0.4,17,-0.0052548828125,0.009547046427732374
128,0.4,18,-0.0041103515625,0.007380565118937948
128,0.4,19,0.0004306640625,0.0059313692682927775
128,0.4,20,0.00252734375,0.004678953753597193
128,0.4,21,0.0035927734375,0.003757442622202724
128,0.4,22,0.0120751953125,0.003064077056264356
128,0.4,23,0.01323095703125,0.0023695785891194652
128,0.4,24,0.0057255859375,0.0019186293681314026
128,0.4,25,0.01175537109375,0.0015109551476464459
128,0.4,26,0.0052080078125,0.001159156930952301
128,0.4,27,0.00779541015625,0.0008738273892603788
128,0.4,28,0.00723046875,0.0006273842148838458
128,0.4,29,0.00541015625,0.00045305598704603985
128,0.4,30,0.0047685546875,0.0003224732589735323
128,0.4,31,-0.0034111328125,0.00017767758500476525
128,0.4,32,-0.01046728515625,0.0001360527858573582
128,0.4,33,-0.006443359375,8.941270917497717e-05
128,0.4,34,-0.00233349609375,7.213958810068648e-05
128,0.4,35,-0.00494775390625,5.134439359267734e-05
128,0.4,36,1.953125e-06,3.2780320366132726e-05
128,0.4,37,0.00689990234375,1.8564073226544623e-05
128,0.4,38,0.0144560546875,4.347826086956522e-06
128,0.4,39,0.01101416015625,0.0
128,0.4,40,0.0093056640625,0.0
128,0.4,41,0.00786279296875,0.0
128,0.4,42,0.0060224609375,0.0
128,0.4,43,0.001626953125,0.0
128,0.4,44,0.00164892578125,0.0
128,0.4,45,0.00108740234375,0.0
128,0.4,46,-0.0003828125,0.0
128,0.4,47,0.00843115234375,0.0
128,0.4,48,0.00851171875,0.0
128,0.4,49,0.01153466796875,0.0
128,0.4,50,0.0112177734375,0.0
128,0.4,51,0.009095703125,0.0
128,0.4,52,0.00373779296875,0.0
128,0.4,53,0.001478515625,0.0
128,0.4,54,0.005193359375,0.0
128,0.4,55,0.00839306640625,0.0
128,0.4,56,0.0142763671875,0.0
128,0.4,57,0.007634765625,0.0
128,0.4,58,0.01117041015625,0.0
128,0.4,59,0.00765771484375,0.0
128,0.4,60,0.00782373046875,0.0
128,0.4,61,0.00507861328125,0.0
128,0.4,62,0.0086708984375,0.0
128,0.4,63,0.00560302734375,0.0
128,0.4,64,0.0039873046875,0.0
128,0.35,0,1.0,1.0
128,0.35,1,0.44180029296875,0.44446528333215896
128,0.35,2,0.2221025390625,0.22983046467121093
128,0.35,3,0.11546826171875,0.12717685124857392
128,0.35,4,0.061265625,0.07427260811339821
128,0.35,5,0.03645556640625,0.04742822472154957
128,0.35,6,0.01618994140625,0.03210469909459844
128,0.35,7,0.01547998046875,0.020505195173313093
128,0.35,8,0.01216943359375,0.013519672436936567
128,0.35,9,0.01450048828125,0.00790621614871782
128,0.35,10,0.00407568359375,0.004832068278162816
128,0.35,11,0.00022802734375,0.0033361124450732253
128,0.35,12,-0.0099462890625,0.002405764205327682
128,0.35,13,0.00286474609375,0.00163053181940948
128,0.35,14,0.00407861328125,0.0010552654798487925
128,0.35,15,0.02222314453125,0.0006882895970041133
128,0.35,16,0.013484375,0.0004642169894434226
128,0.35,17,0.0125068359375,0.00024353834680597848
128,0.35,18,0.00117431640625,8.245877061469264e-05
128,0.35,19,-0.0013623046875,2.1739130434782607e-05
128,0.35,20,0.0054638671875,0.0
128,0.35,21,0.008681640625,0.0
128,0.35,22,0.0156005859375,0.0
128,0.35,23,0.0081533203125,0.0
128,0.35,24,0.005177734375,0.0
128,0.35,25,0.00744921875,0.0
128,0.35,26,0.00754736328125,0.0
128,0.35,27,0.008796875,0.0
128,0.35,28,0.00868408203125,0.0
128,0.35,29,0.01622021484375,0.0
128,0.35,30,0.01486669921875,0.0
128,0.35,31,0.0189052734375,0.0
128,0.35,32,0.0202802734375,0.0
128,0.35,33,0.0053466796875,0.0
128,0.35,34,-0.00026513671875,0.0
128,0.35,35,0.006998046875,0.0
