L,beta,xi_standard,xi_cluster,A_standard,A_cluster
64,0.42,11.334331805518184,9.973109736869429,0.328574626451945,0.37254464993809394
64,0.4,15.776668404983184,4.527881841238098,0.11491906888213793,0.46456904272633637
64,0.35,11.652013538246516,2.224122537488426,0.049005920272622655,0.48721391435809347
64,0.3,,1.2653932523826796,,0.48412572493362965
128,0.42,19.057968088693556,11.843921534705801,0.17105393569584942,0.2660926035171475
128,0.4,28.103312984508978,3.652150893838935,0.027886507745327777,0.8615060523136127
128,0.35,61.158514977968274,2.093260703578075,0.012725459668448652,0.602959233514397
128,0.3,106.9043834267961,2.032841124496943,0.007945369257447503,0.15566951041791152
